image_filename,link,embedding
DHuX3QggDOK,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/486621671_18501439888012619_8245677272886107803_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTA4MC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QG3b_dFMQTy-uxz0Lv71_U9VJtkB1HfogkvaqZ_QD2rEQBemje5ValHpG1MVfPWRAg&_nc_ohc=E6Ph2g9BJnMQ7kNvwG8C9o2&_nc_gid=6FMbElMMSMS-Lc34Dn2WPQ&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzU5NzkxODA5NTM4NzM2NzU3Mw%3D%3D.3-ccb7-5&oh=00_AfHqjuJs41llmdtK8YVypmvpAeaWlAtkMZ_LdIGqPlKbwg&oe=67FA66F8&_nc_sid=fc8dfb,"[-1061.3716, 2123.8545, 1449.5426, 1162.8916, 1100.2778, -647.6965, 823.42053, 675.3319, 1607.9258, 271.47137, -1840.6018, -609.3795, 3286.1167, 1741.3611, -690.121, 861.57104, -860.93335, -262.54358, 1748.4529, -737.01013, 413.7732, 3326.8823, 1033.9059, -326.69952, 2664.6628, -647.3031, -823.2087, -1903.0153, -562.44934, -858.2578, -1520.5315, 186.39392, 1545.2294, 1076.4937, 2662.5273, 897.2382, -2571.4163, 870.85693, 229.82706, -1213.0475, 1641.3413, 1149.2816, 949.1491, -268.80685, 253.96167, 1592.6921, 2107.4844, -524.89, -1924.5231, -563.0813, 1574.9841, 631.1229, -618.55054, 158.60121, -1254.8652, -357.304, 2451.5168, -621.16223, -2087.7488, 1387.2114, -428.54434, -133.50336, 3737.5698, 567.5939]"
DGTYnOmRFJq,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/480497824_18494075611012619_4684597263825896096_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTE5Mi5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QGaGtuSaZPS46eciyVMeMspkXudnp-Me962u6F67jSZWtHZTWQ8M9I4AooZ-S_S-og&_nc_ohc=1fswTVWwXZoQ7kNvwEC4E6f&_nc_gid=1HIvqeYCvbHkGULwRiXYYA&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzU3MjMwNzE2ODI0NDE3NTM2MQ%3D%3D.3-ccb7-5&oh=00_AfEy8WUoYHyanYnn1X0GvX6iqzB8L-72HLt-LAtruSRPcg&oe=67FA56D4&_nc_sid=fc8dfb,"[-1052.0477, 2128.259, 1446.897, 1159.7114, 1097.7378, -642.88196, 824.2687, 673.128, 1610.8254, 279.3722, -1846.6626, -614.38947, 3284.0708, 1740.0186, -692.47723, 858.7639, -861.1408, -261.48053, 1745.4292, -739.3717, 412.5376, 3328.8965, 1031.6747, -330.56152, 2656.9692, -646.7175, -825.19214, -1899.9974, -564.2806, -859.70105, -1523.872, 190.46204, 1544.4884, 1074.5857, 2664.5427, 894.38153, -2572.2988, 873.43207, 234.77487, -1214.0017, 1641.8711, 1145.2429, 941.86194, -270.99954, 252.45801, 1594.6371, 2110.1172, -530.58276, -1919.9104, -556.74225, 1571.3489, 633.60693, -622.4314, 156.97746, -1259.6125, -358.34076, 2450.477, -622.43726, -2089.2954, 1389.8188, -427.28137, -132.68976, 3734.807, 576.1504]"
DG1rLC4gVnM,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/482953094_18496592656012619_7334614050662916748_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjE0NDB4MTQzOC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QEi3FHCgP1VXKba_4R4W_oUAhIAXKE2uPHdcJG-0K4Rjl1GPhD_XaQW75hyob_N7U8&_nc_ohc=QTL0kuV4QPgQ7kNvwFDFeWj&_nc_gid=9bziboFlyLFNpNJwCRoB1A&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzU4MTk1ODk1MzY1MjgwNDA0NA%3D%3D.3-ccb7-5&oh=00_AfE6prTKg_PYX9EqTQ24u5JRvLS6bHqp4zJ3RjqOo-RejA&oe=67FA7822&_nc_sid=fc8dfb,"[-1075.6746, 2107.2285, 1447.1238, 1160.8862, 1102.986, -655.7895, 846.9411, 685.3141, 1582.8613, 254.64816, -1846.3748, -594.57684, 3277.3232, 1753.2219, -692.90784, 877.72095, -868.0499, -253.66425, 1737.074, -764.2083, 394.3178, 3371.9792, 1056.6001, -369.46332, 2623.3167, -660.30786, -829.107, -1928.7261, -565.2227, -879.72394, -1530.1351, 221.01135, 1508.3497, 1072.5519, 2623.6873, 917.0026, -2601.3113, 876.99713, 252.81589, -1208.2761, 1605.6622, 1148.5259, 934.3578, -280.86136, 215.79742, 1565.183, 2076.1475, -520.93475, -1916.6577, -535.2052, 1569.365, 658.25574, -628.5856, 95.07156, -1258.838, -367.18155, 2433.9316, -625.7465, -2112.3755, 1350.1835, -409.2801, -142.05188, 3765.2847, 580.5508]"
DFbjHBbx78J,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/475643866_18490201441012619_7658633892972583194_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjE0NDB4MTQ0MC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QF2Vy3CYIveFTGFmUS2EJX21FzOHTcjexO3bB8u3NufnxhLqURC42OXjeyHv-4E17o&_nc_ohc=B-8gBCaKTLwQ7kNvwFVRaUl&_nc_gid=h_6GkISX40Hl1hBIUwwubQ&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzU1NjU5MDc0NDk0MzE4MTU3Nw%3D%3D.3-ccb7-5&oh=00_AfHwebVAbCO9aFSgJZJdujaOJjDyQwsU8RTbowdpWYsyqA&oe=67FA4810&_nc_sid=fc8dfb,"[-1059.2762, 2122.775, 1447.4241, 1163.2825, 1099.9307, -645.489, 826.92847, 675.6219, 1606.1029, 270.0987, -1841.1606, -608.6764, 3285.1934, 1743.4696, -692.4823, 861.6706, -859.7273, -261.32385, 1747.4036, -740.18463, 410.89362, 3330.9885, 1037.0259, -332.1449, 2658.9539, -647.4958, -824.7673, -1903.0593, -565.4923, -860.9718, -1520.7021, 192.1289, 1541.0562, 1074.8309, 2659.0027, 898.59753, -2574.0671, 872.3916, 234.68521, -1212.3718, 1638.1504, 1148.856, 945.2962, -270.0564, 248.56866, 1587.9419, 2104.8188, -528.07935, -1921.316, -559.2166, 1570.5188, 635.8823, -620.84033, 151.78336, -1255.7299, -356.90405, 2449.2966, -621.1417, -2089.772, 1384.6863, -425.3156, -135.13635, 3740.038, 570.01825]"
DHmbshcMdFQ,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/486765001_18500778439012619_6427846577609269884_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTA3OC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QFuuMq6tW49d0X2KV_WiY34Xizek4ywYm1N9j5Ag2UBIWjpGQM7BKEPCExf_xYVbaM&_nc_ohc=841lTZHX8AsQ7kNvwEWeohB&_nc_gid=U81DOt7i765Z9iGUvPdwwg&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzU5NTY4MzE0MTA1OTA5MzU5Ng%3D%3D.3-ccb7-5&oh=00_AfFM6Swsn-OZa_YHcWZ9qOZIfw6tibnerhsxL8oJS21Q-Q&oe=67FA4824&_nc_sid=fc8dfb,"[-1073.1292, 2108.6084, 1447.209, 1167.772, 1104.4446, -651.31915, 849.3806, 681.3949, 1580.3511, 255.31148, -1834.9912, -594.829, 3278.9692, 1753.3036, -693.77515, 872.33545, -864.865, -256.09607, 1742.2947, -751.0065, 403.13397, 3358.937, 1055.1066, -355.42474, 2636.5037, -653.95624, -834.38916, -1919.0801, -566.4449, -878.9791, -1517.6415, 219.70874, 1518.161, 1073.374, 2629.112, 916.9838, -2588.9648, 872.56934, 243.6813, -1215.8671, 1615.9573, 1151.4741, 938.96497, -277.01367, 221.46753, 1561.8535, 2081.6294, -524.68304, -1914.6665, -536.93463, 1563.49, 656.06775, -628.43933, 111.977905, -1261.6534, -362.34628, 2432.482, -620.7439, -2102.3965, 1359.5669, -420.37006, -139.3656, 3760.375, 575.1019]"
DH65iw8xFBq,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/487832073_18502519960012619_8997777133527092155_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTA4MC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QGiEaFf-VTt36paI0_nFIC-snJl127PowNtGbOhO6cCO9I6jvnqaV4fewRKncWMNs4&_nc_ohc=N-VEBxl1qM4Q7kNvwG47exd&_nc_gid=r9CHVEM0dBNBiKmQjV2pqw&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzYwMTQ0MzkxOTY3NTk2NDUzMg%3D%3D.3-ccb7-5&oh=00_AfFWF_vQ3n-hcc5-HunfY8KJ5O-bPFqQ5u4LArDt8Z5rUQ&oe=67FA7B62&_nc_sid=fc8dfb,"[-1071.6836, 2112.5574, 1444.5641, 1163.6194, 1099.7631, -654.21484, 846.6787, 681.41077, 1588.565, 261.37994, -1847.1401, -595.32715, 3277.8215, 1751.1273, -692.5047, 871.9005, -867.97424, -253.83582, 1737.312, -759.447, 397.50208, 3366.671, 1049.5405, -361.95386, 2629.352, -655.02, -831.04913, -1923.7034, -564.38806, -876.76385, -1527.9645, 215.92969, 1517.1182, 1074.712, 2632.3354, 913.0607, -2591.5107, 873.05945, 250.31583, -1212.763, 1612.9995, 1147.6093, 937.18335, -282.7975, 220.52661, 1571.028, 2081.5186, -524.5541, -1917.4784, -535.86444, 1565.9766, 655.67566, -623.76245, 107.08234, -1259.6514, -367.06415, 2435.255, -625.91595, -2108.231, 1357.3118, -414.18787, -139.79626, 3758.7483, 582.98]"
DFf2EVcOFeq,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/475446112_18490411135012619_843453845691122121_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjEwODB4MTA4MC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QGwaNSJqnJtYbIfOk5Q_kbS1NalMVM69_Whr09iwNzKT3GXdwv7FE4BNaehZb4MhY4&_nc_ohc=hc0oDNtqWxgQ7kNvwHRFgDJ&_nc_gid=qYkEtl3p66vJ_JshDBv-Dw&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzU1NzgwMDAyMzA1NzUyMDU1NA%3D%3D.3-ccb7-5&oh=00_AfH82tdgrQBlZaV0SPSiiQY-PNYLJsUEjYaAxSTYLjpwLA&oe=67FA5CAF&_nc_sid=fc8dfb,"[-1039.1523, 2131.5415, 1442.1675, 1156.1931, 1094.9723, -638.81665, 835.6796, 671.282, 1605.3641, 290.15753, -1853.2507, -616.81757, 3277.7966, 1741.9393, -697.2811, 859.7838, -865.2766, -258.6693, 1737.4268, -749.95154, 406.9798, 3345.5977, 1031.3792, -349.8246, 2631.49, -648.9557, -832.5588, -1901.5021, -569.08636, -872.8563, -1527.3116, 208.03064, 1532.8882, 1070.17, 2656.0906, 897.9033, -2580.8726, 876.7228, 248.07413, -1218.7734, 1633.5188, 1140.4808, 926.6752, -279.67044, 240.39624, 1589.6938, 2103.1143, -538.7914, -1908.9921, -534.2498, 1559.1149, 645.8623, -633.0404, 134.89752, -1270.03, -365.91467, 2441.2217, -625.6575, -2098.0742, 1383.1267, -422.6513, -131.93927, 3737.241, 596.3749]"
DFObyqqBeRg,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/474676592_18489340345012619_7468197314546895408_n.jpg?stp=dst-jpg_e35_p1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjE0NDB4MTgwMC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QE_fPiv_hJJE5JOHN2Smqznmyk_kCkH8QIkW2EacGswzCDmycskumDyjExUKDnSzbY&_nc_ohc=CB2XVB2DHK8Q7kNvwFcqNa0&_nc_gid=KelhyARtNc6oH5iezLA-8Q&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzU1Mjg5OTM4NTA3MzcyMjQ2NA%3D%3D.3-ccb7-5&oh=00_AfGLjR3fSuQK4iOtxRKNcbSV3k-sIDqrqpG14qjfqqLGJA&oe=67FA5968&_nc_sid=fc8dfb,"[-1077.6921, 2099.7236, 1448.5509, 1155.1396, 1104.2192, -659.7379, 851.25183, 690.6721, 1574.4431, 253.2044, -1845.4348, -595.2498, 3271.697, 1756.5918, -693.0688, 881.95166, -869.1727, -248.29266, 1733.8618, -772.87225, 390.52734, 3385.6384, 1066.3477, -384.65503, 2606.736, -669.20044, -830.1022, -1936.8713, -570.03455, -887.268, -1535.0377, 233.24841, 1495.3887, 1069.3534, 2609.4082, 926.74304, -2612.9746, 883.4863, 259.96057, -1207.3289, 1591.0015, 1146.6989, 926.72595, -280.42508, 204.84576, 1556.6486, 2063.9475, -518.16077, -1911.2769, -524.91315, 1567.578, 665.57263, -639.9483, 71.700516, -1263.414, -370.83685, 2427.2036, -626.0163, -2123.004, 1338.6311, -400.87146, -147.0816, 3776.846, 586.0085]"
DG6uwZKACNm,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/483087828_18496980367012619_942161203460260827_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTI2NC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QGx9Sk_QWw8ed4JqDZF-8uDNVm7394fJZd_VqaipkZIk8LS4mqlM0FpJcXHby3qsOE&_nc_ohc=ijl-14RA_A0Q7kNvwETxfLV&_nc_gid=2BOiiFkiM4-VMXSDUOKwOA&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzU4MzM4MjA3NzM0MjQ5MDM2Ng%3D%3D.3-ccb7-5&oh=00_AfEDsoleyk9IShsHcfXYxc1x2INOWitdXUpvsEWTaAHihA&oe=67FA742C&_nc_sid=fc8dfb,"[-1056.0046, 2116.0562, 1441.0574, 1158.1594, 1098.9705, -649.26764, 847.02374, 679.0316, 1590.212, 274.385, -1848.4918, -606.3062, 3276.476, 1749.7094, -695.2762, 867.7416, -869.6018, -254.57147, 1732.8082, -757.8553, 398.6817, 3363.7866, 1042.7255, -361.47546, 2623.6458, -657.17566, -834.82874, -1914.8987, -570.9159, -880.6347, -1526.851, 217.656, 1518.0347, 1069.8896, 2636.0906, 911.2544, -2592.7876, 876.77014, 250.41711, -1217.4202, 1616.2003, 1144.0807, 930.2162, -283.85443, 223.3601, 1576.9847, 2087.03, -531.4082, -1911.3015, -529.46277, 1559.1113, 656.28143, -633.3635, 109.05655, -1267.4912, -368.468, 2434.5889, -626.6374, -2106.082, 1365.6133, -415.1258, -137.3811, 3754.101, 591.67236]"
DHH5jNagQu-,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/483883207_18498120433012619_3598637036743584716_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTE4NC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QGeonUlAVPtmSc5zr8JB63xY0qGnlAeIm92r4mNzCW1XLUPlJEuTHK3Lj_ijMBlCv4&_nc_ohc=fcUf7QBuu5MQ7kNvwGV0axA&_nc_gid=CiKP_WJ0SF_i_bdblmAdZg&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzU4NzA4ODcxNjkyMjk2MDA0NQ%3D%3D.3-ccb7-5&oh=00_AfGbvls17dPsvRSlf6e_2r99dasb8-tMm_gekoLDupNQLw&oe=67FA5AE3&_nc_sid=fc8dfb,"[-1065.5881, 2119.5234, 1444.2216, 1167.174, 1099.3203, -651.0082, 844.9347, 676.5775, 1593.1371, 270.43747, -1840.3726, -601.6637, 3280.329, 1748.0195, -690.24677, 865.2267, -867.88666, -256.02344, 1741.5107, -746.2687, 409.7796, 3352.3135, 1042.5837, -346.0647, 2643.31, -651.10724, -833.5872, -1911.9655, -563.78284, -875.62634, -1520.2188, 207.87158, 1530.0518, 1073.9839, 2645.101, 908.58014, -2579.348, 868.6693, 240.65485, -1220.2795, 1627.357, 1149.2695, 942.13354, -280.58456, 231.72229, 1577.5088, 2091.693, -527.75793, -1917.3113, -537.61914, 1563.6829, 649.1758, -623.7145, 128.14922, -1264.9773, -362.03912, 2436.582, -621.4513, -2097.798, 1371.064, -424.2247, -135.10437, 3749.9526, 580.98834]"
