shortcode,link,embedding
DHqyEKlx45m,https://scontent-lax3-1.cdninstagram.com/v/t51.2885-15/485648514_18593828281019724_8902815051699627240_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&cb=30a688f7-fa102a98&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjE0NDB4MTQzOC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QHJenhIOlZ72sqqjL7rubXQNmK14mAmED6nsaHIVKclA3XafNdXI2C26e9ngmzDgjk&_nc_ohc=QnJJ1QPyjMAQ7kNvwGj2U3K&_nc_gid=3ma2XK9UhNyV7u2Q12hu2g&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzU5NjkwNzQ0MDk4MzQ3Nzg2Mg%3D%3D.3-ccb7-5-cb30a688f7-fa102a98&oh=00_AfG3iGN4Myp3h4I5kzPFaWqNEeQbgbgnZ5LnNarMbsalhQ&oe=6805045D&_nc_sid=fc8dfb,"[0.927291750908, 0.449945956469, 3.70222735405, 1095.79394531, 0.0918598845601, 7.33317422867, 1056.01037598, 15.1143875122, 0.4961130023, 14.1365299225, 4627962.5, 0.631833732128, 0.000972027133685, 0.0135467704386, 0.00320976902731, 0.00338335940614, 0.00438591837883, 0.00346651719883, 0.000643218692858, 0.00105155690107, 0.000809473509435, 0.000749359081965, 0.000649621943012, 0.00031700215186, 0.000252791243838, 0.000374889699742, 0.000192907144083, 0.000206484954106, 0.000274585821899, 0.000168402097188, 0.000215807696804, 0.000182629562914, 0.000130122018163, 0.000139878349728, 8.54578684084e-05, 9.03687760001e-05, 6.73552131047e-05, 1.05070703285e-05, 1.97511394617e-06, -687.821044922, 131.016082764, 13.1390295029, 22.9851856232, 7.66277551651, 0.617211818695, 2.90592169762, -1.88614344597, 0.121634244919, 0.931952297688, -2.50378727913, 1.52312242985, -0.636324763298, -38.6731300354, 99.4093170166, -100.17313385, 29.800868988, -55.3923988342, 10.1223144531, -35.802066803, 9.04150485992, -19.9252319336, 3.66067123413, -5.30557346344, 0.425098210573, 0.566697180271, 148.034042358, 1.20784628391, 4.81668949127, 0.55803912878, 15.1981725693, 1.84916615486, 0.812851965427]"
DHKpuJEtril,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/484216085_18591137425019724_1764302992355932174_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&cb=30a688f7-fa102a98&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjE0NDB4MTE2NC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2QFulHAmenzk3fDLf2orPBg2WHCA_rMV0CW52dcFOuHPoZgR5kfdXqmjG0-BfuwP_mM&_nc_ohc=jGM2qkgZQtcQ7kNvwFMriW-&_nc_gid=35vFLMCbD2GnNQSilIB5Rg&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzU4Nzg2MzU0Mzg5OTY2NjU5Nw%3D%3D.3-ccb7-5-cb30a688f7-fa102a98&oh=00_AfH-lmznOc_trrQLK83AHC54zWDRSLrGQGeo0cipJPP8lQ&oe=68050A33&_nc_sid=fc8dfb,"[0.89463031292, 0.459532767534, 4.2029671669, 1290.05285645, 0.0729637518525, 7.43521404266, 1024.37683105, 18.2941303253, 0.462448328733, 15.7613239288, 4349207.5, 0.721494853497, 0.000926303269807, 0.0133262909949, 0.00200800551102, 0.000687226653099, 0.00223543215543, 0.00351581629366, 0.00231574987993, 0.00087791797705, 0.000879714614712, 0.00190954189748, 0.000509802484885, 0.00057122547878, 0.000417382398155, 0.000467507255962, 0.000370756257325, 0.00017884458066, 0.000264261296252, 0.000316442805342, 0.000353159412043, 0.000329128000885, 0.000266850955086, 0.000122319048387, 8.59916908666e-05, 0.000104343533167, 4.20341966674e-05, 6.09861353951e-06, 2.28124054047e-06, -670.630615234, 128.716430664, 12.8696632385, 38.5622329712, 1.85988795757, 4.19004964828, 7.13390779495, 1.67192518711, 4.50884723663, 7.2704911232, 1.41134667397, 4.53058481216, 0.155893281102, -26.5589580536, 107.198455811, -104.206916809, 45.6508522034, -55.514995575, 9.77432727814, -22.8841209412, 12.0639820099, -13.4846315384, 7.04098463058, -0.956049978733, -0.249282240868, 3.45230340958, 137.985107422, 1.07427561283, 3.35318922997, 0.533258378506, 15.2944507599, 1.80698800087, 0.709083199501]"
C6bGvvzvQma,https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/441139926_848243033788094_1850554147928343309_n.jpg?stp=dst-jpg_e35_p1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTgwMC5zZHIuZjI5MzUwLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QHyWZYV8xzTQSxvR44YyUj0mFk-bZ4ef5ugFJWXigyAPDUjcsmp5Kt-qeQjTGbF2-w&_nc_ohc=A3ES4dvyUzoQ7kNvwF9mRK3&_nc_gid=TZJRKO-5NrY1ntfHzD2tHQ&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzM1ODMwNzYwNzQ2OTkyODA5NQ%3D%3D.3-ccb7-5&oh=00_AfETGZBJktWpT8Jaev-Dwhe7QpScHNWBfKdGhj_Pe4jYSg&oe=6804EF79&_nc_sid=fc8dfb,"[0.850314557552, 0.443762511015, 3.41218352318, 1114.91101074, 0.0665972083807, 7.15689849854, 1312.06481934, 20.392747879, 0.511258065701, 14.6734247208, 4850404.0, 0.660383582115, 0.000310747680487, 0.0113285528496, 0.00373760075308, 0.00173614255618, 0.00524302059785, 0.00232880050316, 0.00111045024823, 0.00110720505472, 0.00113851029892, 0.00109945924487, 0.000439203256974, 0.00020736308943, 0.000314866891131, 0.000432711618487, 0.00024113272957, 0.000249320903094, 0.000344662723364, 0.000382119731512, 0.000248057389399, 0.000439525698312, 0.000131637221784, 0.000154318986461, 0.00016349334328, 0.000226447125897, 0.000120596057968, 4.88279401907e-05, 1.58730217663e-05, -673.932128906, 134.221557617, 20.2853050232, 33.1033096313, 4.2253241539, -0.787395060062, 0.870507359505, 4.35359048843, -4.63743448257, 5.08372068405, -6.5489025116, -3.30026960373, -2.84030747414, -25.7259178162, 104.309120178, -92.0015945435, 36.0173034668, -56.9244155884, 2.89049768448, -33.8110046387, 6.7180185318, -22.2681293488, -3.50306534767, -11.1647825241, -3.047778368, -6.58755636215, 95.0562515259, 1.15530753136, 2.96106481552, 0.576414465904, 16.0782012939, 1.63257062435, 0.786765038967]"
C0vRPnvoIAa,https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/409331683_1309357309751068_987662860587524333_n.jpg?stp=dst-jpg_e35_p1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjE0NDB4MTgwMC5zZHIuZjI5MzUwLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QEh61mzCNJTcr5qpy63vTFZIl0UvTydCY6nvscI3F4Sr1KLfRO9SjMdHJgUKRACFz4&_nc_ohc=t0S4-xbK-O0Q7kNvwFteUq9&_nc_gid=wil52Cqk1pbNC_7Vu-G_qA&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzI1NTg5Njg5NTg2OTk3NjYwMg%3D%3D.3-ccb7-5&oh=00_AfFWjLvd6llW6ARqRfaCErTeTLR-6ZB4BzUcYevHxmsBNw&oe=6805013D&_nc_sid=fc8dfb,"[0.81948775053, 0.430989027023, 4.39311981201, 745.183105469, 0.0585653297603, 6.95418262482, 847.415100098, 15.0960855484, 0.569400787354, 14.6461925507, 3437571.0, 1.21998882294, 6.74719121889e-05, 0.00344135472551, 0.00246391422115, 0.00154413317796, 0.0041629942134, 0.00323877763003, 0.0037690307945, 0.00170987984166, 0.00238932739012, 0.00192083290312, 0.000596928177401, 0.000761804694775, 0.000626018096227, 0.000451182830147, 0.000247145595495, 0.000231772399275, 0.000106052575575, 8.97967329365e-05, 6.92469839123e-05, 6.68369757477e-05, 5.31569567102e-05, 3.99009186367e-05, 3.53446885129e-05, 3.26388544636e-05, 1.70313960552e-05, 1.07211017166e-05, 7.97937104835e-07, -696.760070801, 170.789855957, -6.0629529953, 12.6657629013, -6.1567606926, -1.80521380901, -8.59797000885, -4.28035831451, -4.17875385284, -0.956945180893, -9.74355792999, -4.54267930984, -5.68893909454, -53.440612793, 136.329208374, -120.257148743, 8.25949192047, -61.3440933228, -1.18141543865, -38.9595794678, -2.38057136536, -22.8594207764, -4.37075710297, -17.4426288605, -7.19928789139, -6.93773174286, 119.926635742, 0.9817237854, 2.7857837677, 0.555750906467, 16.5692024231, 1.59487438202, 0.787480652332]"
C_gUrFoSjoi,https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/458352584_1565097637722412_6771756777757536366_n.jpg?se=-1&stp=dst-jpegr_e35_s1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjE0NDB4MTQ0MC5oZHIuZjI5MzUwLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QFfiKOH4cRCgUYCka01GjGfnfpQlJ5Dt2BCjeQp11tKo4gAvq0Pv0KCl_Jo0Fbssek&_nc_ohc=SPQO_1i8eWoQ7kNvwE48Aiu&_nc_gid=GyD2LL83sgvNoI0Uz9uyZQ&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzQ0OTg0ODIzNjQ3ODE4Mzk3MA%3D%3D.3-ccb7-5&oh=00_AfHGdiJDELavyxIpXlcOZ7oZWv6lBYEDSi0eY6TOKCc4vA&oe=6804EBEE&_nc_sid=fc8dfb,"[0.314242720604, 0.451382547617, 3.97746062279, 1368.74414062, 0.0959929227829, 7.27991437912, 1464.84289551, 20.1180152893, 0.479376137257, 14.5339546204, 4568072.5, 0.876188874245, 0.00572887668386, 0.0190328396857, 0.0059948284179, 0.00105667859316, 0.00152111181524, 0.00166491454002, 0.00154271349311, 0.00123306759633, 0.00151231547352, 0.000911351526156, 0.00063073344063, 0.00056796206627, 0.000420405587647, 0.000437187758507, 0.000464721088065, 0.000405127590057, 0.000340433529345, 0.000531558820512, 0.000370800582459, 0.000235646235524, 0.000177360809175, 9.24191845115e-05, 0.000100646255305, 9.95095833787e-05, 0.00010806001228, 5.39901047887e-05, 1.06835777842e-05, -704.183410645, 132.911514282, -5.17736673355, 22.7633724213, 0.516475558281, -6.05101680756, 0.872939169407, 3.6156270504, 0.121541909873, 4.58116674423, 1.82933568954, 0.387642711401, -0.623625040054, -53.6333084106, 91.7385787964, -111.66053009, 18.0191993713, -51.5025978088, 0.803109884262, -29.8932590485, 14.1425876617, -19.0043048859, 3.32244277, -10.9458246231, -0.416413336992, -7.63700962067, 129.225738525, 1.19981920719, 4.90599918365, 0.474840730429, 13.4158706665, 2.03637480736, 0.64368981123]"
DIJGGzIp_M9,https://scontent-lax3-1.cdninstagram.com/v/t51.2885-15/488882210_18296601835266096_4171938857545717138_n.jpg?stp=dst-jpg_e35_p1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTYwNi5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QHlCk_z6eoDEDN95iFC2gxbJCNZ-rgIXQq1K0HtCmsXTrNofFDHXCI_Kd9seEwJtB4&_nc_ohc=pI5rEO8CQT4Q7kNvwFQqdZV&_nc_gid=lxUvKJG5k8NCqYbJqf_F3g&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzYwNTQzOTgxODM3MjY0ODc5OQ%3D%3D.3-ccb7-5&oh=00_AfEdIVfusoeuOHxjYRX6RusA6PtrD48Ozzfq9178MI57CQ&oe=68050D8F&_nc_sid=fc8dfb,"[0.915331602097, 0.425096422434, 3.2446231842, 1087.54736328, 0.0808947309852, 6.97363567352, 1933.61608887, 31.2306861877, 0.378725558519, 11.2457761765, 5478211.5, 1.16608035564, 0.000231845406233, 0.0166413020343, 0.012661180459, 0.000924235675484, 0.00119367835578, 0.00088051968487, 0.00135937868617, 0.00115321564954, 0.00107534730341, 0.00169705809094, 0.000976554409135, 0.00110292434692, 0.000635892734863, 0.000428265397204, 0.000766114855651, 0.000479699898278, 0.000476706685731, 0.000224956995226, 0.0001629665785, 0.000125828097225, 0.000164331562701, 0.000122635785374, 0.000174763612449, 0.000204370240681, 0.000162375901709, 8.6150423158e-05, 0.000428928702604, -705.039306641, 121.166152954, 16.5223140717, 11.8643808365, 14.0003633499, 14.8722648621, 6.78835105896, 12.9491939545, 11.1000051498, 15.6064510345, 2.48944234848, 5.73753833771, 8.85633945465, -33.8351783752, 62.1571578979, -70.8892974854, 1.66447854042, -22.9243373871, 12.6366090775, -5.54116296768, 0.62618124485, 4.9407992363, -8.04056453705, -2.14971351624, -15.1690206528, -4.71252727509, 123.977684021, 1.14433252811, 3.93875408173, 0.53014343977, 17.2105998993, 1.51851427555, 0.55467325449]"
DH_AVl6J4-3,https://scontent-lax3-1.cdninstagram.com/v/t51.2885-15/488071323_18296201344266096_5876831393123333631_n.jpg?stp=dst-jpg_e35_p1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTc5Ny5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QHJdZnXroWgjnBAN2-UwsbU5jTf4c2S6iIboIu4LFaJZGFKAUGXGftMsQWcNqcW3S0&_nc_ohc=MQPDdHi563QQ7kNvwEUtk0B&_nc_gid=U5f_u_-LQ1N-FHdv0OdFLQ&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzYwMjU5OTY5MTA0NDY2MDcyOA%3D%3D.3-ccb7-5&oh=00_AfHYsjBbMB_XzfqIVmYoMCUFHlCp5v2j4bBLpUPBeZgODw&oe=6804FDD9&_nc_sid=fc8dfb,"[0.908501148224, 0.444501310587, 2.88513636589, 1165.56835938, 0.106157958508, 7.51971149445, 1280.28173828, 29.6987266541, 0.41932579875, 14.0394210815, 6987816.5, 0.74909132719, 0.003526837565, 0.0328987650573, 0.00512409722432, 0.0022648293525, 0.00266027217731, 0.0015502407914, 0.00143434735946, 0.000715417030733, 0.00207239482552, 0.00160418078303, 0.00110564311035, 0.000444441539003, 0.000305830355501, 0.000531741185114, 0.00059998157667, 0.000484175398014, 0.000263492751401, 0.000109946813609, 0.000134390822495, 0.000124410522403, 0.000152916982188, 0.000169508391991, 0.0003547728993, 0.000591558055021, 0.0003659191716, 9.74686481641e-05, 2.35765255638e-05, -661.955505371, 111.845039368, 33.1313285828, -1.46761870384, 14.5197706223, 8.31220626831, 8.56630039215, 10.0579576492, 5.56771802902, 16.380437851, -3.54983687401, -0.905504822731, 1.92144787312, -10.7781152725, 74.905670166, -82.1296463013, 19.0005168915, -55.9328117371, 36.4301872253, -30.9394207001, 17.6126651764, -12.3387517929, 1.96919620037, -6.69450235367, -2.40021300316, -0.526812911034, 126.961730957, 1.02911710739, 4.27624559402, 0.523274242878, 14.2812633514, 1.799675107, 0.60116058588]"
DH1Ch34zp_-,https://scontent-lax3-1.cdninstagram.com/v/t51.2885-15/487813006_18295775251266096_6673358481805298433_n.jpg?stp=dst-jpg_e35_p1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTgwMC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QEdKUakhA7y1zhcdZd_UW0Vj9sFMhX9cN8McU7AG659P1u9yw3BI1NshgWhP7gjnM0&_nc_ohc=C-v-CEHwLqoQ7kNvwEg-jVA&_nc_gid=eajt_EQ-soHIQF5MpHwtwQ&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzU5OTc5NDU4NTI2MDAwNjM5MA%3D%3D.3-ccb7-5&oh=00_AfEYuNawHPOFjKmKlu-ex8Z6JdZ2NntnRJb4ggtebVH-BQ&oe=6804F045&_nc_sid=fc8dfb,"[0.928086996078, 0.452456772327, 3.62167406082, 1396.04333496, 0.0992407351732, 7.4550819397, 2730.07299805, 36.2789459229, 0.436476439238, 16.5867404938, 5362024.5, 1.24995017052, 0.00084630883066, 0.0233870595694, 0.00600789021701, 0.00213263533078, 0.00158587319311, 0.00122918502893, 0.00140137539711, 0.00137640442699, 0.00169646216091, 0.00133514916524, 0.00207696552388, 0.000982390251011, 0.000396829243982, 0.000564643531106, 0.000624504231382, 0.000491543556564, 0.000586818729062, 0.000361908343621, 0.000275123660685, 0.000264981761575, 0.000288635346806, 0.000256983039435, 0.000280631298665, 0.000246014416916, 0.000187634112081, 8.58461426105e-05, 0.000424729019869, -664.888549805, 111.205627441, 4.97821140289, 4.45083475113, 4.8311085701, 5.72277116776, 6.06360960007, 9.58982753754, 3.86941766739, 7.29501962662, -1.73030996323, 0.382424354553, 2.06043171883, -8.1945772171, 56.1146392822, -92.0744247437, -1.63524806499, -35.0475502014, 6.71265935898, -12.1557397842, -1.37486147881, -2.55670213699, -12.8100585938, 0.180027768016, -11.3374071121, 1.4518018961, 109.936203003, 1.13377892971, 3.77281999588, 0.491843163967, 14.9011831284, 1.73018503189, 0.786745250225]"
DHyhk84JaDA,https://scontent-lax3-1.cdninstagram.com/v/t51.2885-15/486395852_18295664902266096_2633111266155483445_n.jpg?stp=dst-jpg_e35_p1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTYwNy5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QHEYmncgiJz44WQbwVUtJk18un2Gw8aIiIXcLZd6fv2KOh9FBWCfhx4uEWLYmWOrcg&_nc_ohc=Ivt7q3fEefoQ7kNvwEzMaPZ&_nc_gid=n2WboSx1HTfJlhlq9ee_zA&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzU5OTA4NjcxMDEzODc0ODYzOA%3D%3D.3-ccb7-5&oh=00_AfFtE_uTfsaqn8Izvc3qlUsORFsxoSUo-CcddcUTw_xNxA&oe=68050895&_nc_sid=fc8dfb,"[0.914832890034, 0.441726922989, 2.78535103798, 1061.8125, 0.0962697714567, 7.37496805191, 1198.08935547, 22.9644489288, 0.495244681835, 16.2889308929, 5668404.5, 1.0882434845, 0.000866309739649, 0.0148731954396, 0.00264700641856, 0.00165040628053, 0.00336935231462, 0.00219761766493, 0.00327407033183, 0.00126360310242, 0.00137827184517, 0.00224925484508, 0.00120831036475, 0.000743165961467, 0.000320839200867, 0.000851286633406, 0.000308517657686, 0.000280068896245, 0.000256411440205, 0.000181533032446, 0.00020017872157, 0.000181343057193, 0.000117921081255, 9.43251943681e-05, 0.000183281386853, 0.000234208680922, 0.000147666665725, 8.44667083584e-05, 1.36371609187e-05, -658.600036621, 126.793991089, 14.979929924, -4.75204753876, 5.65385866165, -3.9244389534, 1.87602591515, 3.0708117485, -7.75888252258, 9.44109344482, -7.11074018478, -1.3512390852, 1.76258409023, -7.63867807388, 84.290473938, -100.337524414, 4.37022829056, -62.6940765381, 18.5231132507, -40.5515403748, 12.3273143768, -20.0879135132, 1.9519367218, -4.82829380035, 1.05263698101, -5.9957909584, 105.900802612, 1.2832416296, 4.12712526321, 0.570355951786, 15.9775905609, 1.71411764622, 0.813050687313]"
DHgcRhEJA60,https://scontent-lax3-1.cdninstagram.com/v/t51.2885-15/486066404_18294933229266096_4478711584138161952_n.jpg?stp=dst-jpg_e35_p1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTc5OS5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QGDfBcIN8Y6pYfiDgI1Q6SyDK8U_crimdhuPf-2MMcIDOiMcYK5mENvPPFgFqiMdcQ&_nc_ohc=1YvnxgzfuOYQ7kNvwHfLEAQ&_nc_gid=IhQjDcYdYJAqRS-myIPJ2Q&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzU5Mzk5NjgzMzc2MDExNzI1OA%3D%3D.3-ccb7-5&oh=00_AfGllOdEvnr8K3iJsPhvZm6C21nDYacdVpTZa56lQ9DX8A&oe=6804FA24&_nc_sid=fc8dfb,"[0.743975281715, 0.422173857689, 5.54483366013, 935.624816895, 0.0562563128769, 6.66318321228, 1046.63781738, 14.8918533325, 0.520343065262, 12.1791944504, 3026103.5, 1.30400276184, 3.69307126675e-05, 0.00238584261388, 0.00175070622936, 0.000888071779627, 0.00495523633435, 0.00276057561859, 0.00206860597245, 0.00143249263056, 0.00190945190843, 0.000452465785202, 0.000422658980824, 0.000696872535627, 0.000675807939842, 0.000689943379257, 0.000526305288076, 0.000253139151027, 0.000231792146224, 0.00021300931985, 0.000283572619082, 0.000147393890074, 9.21242171898e-05, 6.11329815001e-05, 2.76248774753e-05, 3.28646710841e-05, 7.58072837925e-06, 2.7411292649e-06, 5.77888613407e-07, -737.380310059, 168.710540771, -0.364830076694, 18.2908267975, -6.45541000366, 1.29816460609, -9.54493331909, -2.5786011219, -8.25053405762, -3.79198217392, -2.16062951088, -1.90636610985, -7.3990521431, -93.6803207397, 139.413391113, -118.867637634, 15.4574403763, -60.9937820435, -3.50344276428, -34.2956237793, -7.24096059799, -16.2687454224, -5.17603206635, -8.10146713257, -4.31852912903, -7.01207923889, 135.622756958, 0.925885617733, 2.20891594887, 0.46819627285, 16.8218326569, 1.60848426819, 0.760134875774]"
