shortcode,link,embedding
DHuX3QggDOK,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/486621671_18501439888012619_8245677272886107803_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTA4MC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QG3b_dFMQTy-uxz0Lv71_U9VJtkB1HfogkvaqZ_QD2rEQBemje5ValHpG1MVfPWRAg&_nc_ohc=E6Ph2g9BJnMQ7kNvwG8C9o2&_nc_gid=6FMbElMMSMS-Lc34Dn2WPQ&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzU5NzkxODA5NTM4NzM2NzU3Mw%3D%3D.3-ccb7-5&oh=00_AfHqjuJs41llmdtK8YVypmvpAeaWlAtkMZ_LdIGqPlKbwg&oe=67FA66F8&_nc_sid=fc8dfb,"[2564.981, 1952.1328, -1806.8024, -801.687, -1621.3718, -1383.2657, 1215.5453, -430.221, 626.36194, 550.93494, 1751.4072, 511.23724, 2188.791, 461.84952, 18.23413, 2383.5684, -55.682343, -1052.2043, -429.30664, -506.28424, -608.3303, -1264.1125, -2697.7922, -390.78006, 2193.9155, 2983.1057, -1244.3959, -1522.1306, 1056.3718, -264.1071, 1531.5884, -1456.8672, 2317.7913, 1431.3215, -2099.877, 1190.1841, -759.33374, -1493.5042, 1138.7512, -949.1257, -1481.7987, -1371.738, -770.97296, -853.74, -516.25366, 193.80939, -1532.5286, -802.23755, 931.7488, 49.111053, 1226.8728, -3082.7708, -193.76636, 1787.0297, -669.85126, 894.3721, -1598.5061, 2357.5767, -1411.4445, -3210.3767, -877.23724, 255.53262, -666.2564, 966.50684, -187.22046, -2184.542, -679.8751, -2280.8086, 2510.2605, 2625.5752, 1570.4147, -1399.3181, 2422.4617, 234.24292, -112.77106, 1965.3392, 335.70892, 1851.9202, -1889.0867, -1009.51465, -204.23164, 1449.8129, -1677.6157, 729.0082, 365.98413, -1143.1243, 213.73267, 1179.579, -730.7157, 3157.2595, 1486.509, -1362.0166, 1414.9343, 31.680237, 814.94275, -896.721, 1683.2944, -730.6801, -2155.4414, -243.13818, 79.14819, 24.823853, -395.57562, -1223.9816, -119.82941, -359.8203, -1304.5244, 1660.0856, -2680.802, 2357.529, 449.8158, 875.25574, -1951.8942, -1051.1199, 1103.8799, -2877.4875, 277.80664, -174.35236, -1337.1604, 796.77136, 390.6894, 120.28705, -4525.2637, 690.8424, 1123.9565, 1527.5933, 1070.3262, 2259.3684]"
DGTYnOmRFJq,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/480497824_18494075611012619_4684597263825896096_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTE5Mi5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QGaGtuSaZPS46eciyVMeMspkXudnp-Me962u6F67jSZWtHZTWQ8M9I4AooZ-S_S-og&_nc_ohc=1fswTVWwXZoQ7kNvwEC4E6f&_nc_gid=1HIvqeYCvbHkGULwRiXYYA&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzU3MjMwNzE2ODI0NDE3NTM2MQ%3D%3D.3-ccb7-5&oh=00_AfEy8WUoYHyanYnn1X0GvX6iqzB8L-72HLt-LAtruSRPcg&oe=67FA56D4&_nc_sid=fc8dfb,"[2565.144, 1944.125, -1812.7399, -798.34875, -1622.1815, -1387.9502, 1218.0645, -435.9068, 627.1166, 554.9836, 1751.5293, 508.2875, 2185.0234, 460.7834, 23.848816, 2380.8145, -52.674927, -1054.1819, -427.8153, -510.50842, -605.4762, -1262.9277, -2697.388, -392.17258, 2197.2146, 2988.0713, -1248.8945, -1521.5471, 1059.5182, -262.62897, 1533.285, -1451.255, 2317.0718, 1435.7649, -2096.358, 1184.3494, -761.05994, -1494.9941, 1131.2496, -949.5817, -1479.6501, -1376.7083, -772.42834, -849.1681, -517.239, 192.45947, -1533.1033, -803.7428, 928.91187, 48.39157, 1226.6073, -3083.214, -191.29456, 1783.4366, -668.2428, 895.83325, -1600.1505, 2358.9622, -1411.4515, -3211.505, -880.27563, 253.30264, -661.80383, 963.51135, -188.88159, -2186.1772, -683.2906, -2276.147, 2511.3975, 2625.6028, 1575.2141, -1391.1343, 2423.7205, 230.23975, -112.49625, 1965.777, 336.3901, 1856.1238, -1890.2838, -1009.7737, -201.37007, 1456.1011, -1677.1033, 732.06287, 364.03564, -1139.1038, 213.62653, 1183.4774, -735.7492, 3160.1829, 1479.8458, -1360.095, 1414.0275, 32.51233, 810.38745, -897.4766, 1685.869, -730.34827, -2151.7412, -243.2667, 74.58545, 25.773193, -396.2456, -1223.9062, -114.77136, -361.26724, -1313.5814, 1661.9961, -2679.2468, 2359.5864, 456.39267, 876.1496, -1947.4618, -1059.1738, 1104.4243, -2875.0605, 277.67438, -173.68259, -1336.4016, 796.8397, 390.26767, 119.281494, -4522.2725, 688.37933, 1123.5391, 1523.074, 1062.8185, 2260.8245]"
DG1rLC4gVnM,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/482953094_18496592656012619_7334614050662916748_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjE0NDB4MTQzOC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QEi3FHCgP1VXKba_4R4W_oUAhIAXKE2uPHdcJG-0K4Rjl1GPhD_XaQW75hyob_N7U8&_nc_ohc=QTL0kuV4QPgQ7kNvwFDFeWj&_nc_gid=9bziboFlyLFNpNJwCRoB1A&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzU4MTk1ODk1MzY1MjgwNDA0NA%3D%3D.3-ccb7-5&oh=00_AfE6prTKg_PYX9EqTQ24u5JRvLS6bHqp4zJ3RjqOo-RejA&oe=67FA7822&_nc_sid=fc8dfb,"[2584.5508, 1903.9971, -1859.9204, -806.1832, -1601.138, -1406.7909, 1240.5173, -399.45605, 680.87646, 572.58136, 1795.3135, 492.91455, 2178.9822, 497.85107, 52.698975, 2340.0942, -45.16028, -1075.1187, -395.15466, -525.93054, -596.53235, -1221.9215, -2702.8984, -384.1636, 2220.8442, 3038.1455, -1286.8303, -1527.2417, 1058.1969, -260.87653, 1542.6104, -1374.6311, 2310.1091, 1413.7919, -2082.9368, 1195.2161, -786.5066, -1495.4375, 1116.8805, -927.64746, -1494.4073, -1405.3638, -781.98706, -860.20935, -482.43054, 156.96777, -1536.3511, -842.85913, 933.32294, 24.689178, 1253.9839, -3082.8667, -156.60056, 1759.9529, -724.0796, 898.2095, -1641.3064, 2355.9321, -1421.4359, -3214.0276, -851.8613, 271.90128, -678.27734, 962.01434, -178.5133, -2202.5195, -657.9846, -2218.4026, 2488.7231, 2625.9238, 1571.7534, -1343.2166, 2465.817, 216.44049, -73.27966, 1995.1819, 318.8909, 1874.0863, -1901.3932, -1001.2717, -226.80467, 1439.2026, -1703.6824, 723.41766, 328.1682, -1114.3512, 212.05646, 1169.9878, -773.1086, 3154.4253, 1442.9697, -1389.9838, 1427.2438, 58.49048, 814.3329, -905.18866, 1671.9537, -792.1957, -2139.805, -252.46248, 87.515686, 55.98346, -403.9796, -1163.7736, -51.816284, -363.6613, -1316.0183, 1672.8905, -2649.0105, 2333.0916, 467.94498, 898.09955, -1956.1095, -1035.6902, 1056.7021, -2884.2075, 320.80157, -192.07999, -1293.1129, 813.3741, 371.44644, 158.55566, -4510.09, 662.0176, 1088.8892, 1499.3253, 1079.8639, 2283.3174]"
DFjcXVWgJ3G,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/476283013_18490726633012619_6368642503467551996_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTQ0MC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QFsI6CS9CZIYzdSn9jLZ1k9tjMbpz45Fst13BVmn9eo4DY_ZWGmWSC5T8j4dP-SROE&_nc_ohc=Rf8xtWG377sQ7kNvwEVRUMJ&_nc_gid=iEGCy4RcklcXMGzSivzjWA&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzU1ODgxMjg2Njk1NjE1ODE5Mg%3D%3D.3-ccb7-5&oh=00_AfHAohKdo9-pH0vT_YGqUA1NiUNMv1VEjs4MWxEnq06xOA&oe=67FA6410&_nc_sid=fc8dfb,"[2573.3652, 1916.0106, -1840.342, -799.0692, -1618.1595, -1402.9888, 1229.8379, -428.06073, 650.0323, 569.3984, 1768.1073, 497.19855, 2170.1924, 475.75037, 44.92328, 2359.56, -41.504425, -1063.03, -410.79797, -523.86523, -597.92566, -1243.2905, -2701.7085, -390.3031, 2209.2964, 3014.7593, -1269.3086, -1520.9735, 1060.7405, -259.90668, 1542.0056, -1412.617, 2313.837, 1434.1353, -2085.157, 1181.3398, -777.0408, -1499.6749, 1111.7129, -939.94684, -1481.0845, -1393.9092, -779.7518, -850.67615, -506.7347, 174.09955, -1533.9637, -822.0277, 925.32983, 37.90277, 1239.1233, -3083.0098, -175.56845, 1768.4657, -693.69556, 896.9214, -1616.8925, 2358.1702, -1415.2471, -3213.8223, -875.51654, 259.91513, -663.16113, 958.1461, -188.68921, -2198.8655, -677.48615, -2244.1858, 2502.3525, 2624.875, 1580.8737, -1359.8092, 2443.1118, 218.93646, -95.16681, 1976.4003, 334.5495, 1870.94, -1898.7504, -1008.81384, -205.89229, 1458.403, -1685.6793, 734.18854, 346.68567, -1125.0986, 209.76025, 1183.96, -757.3202, 3160.6548, 1454.3105, -1371.2197, 1416.9622, 43.446045, 801.4894, -901.8541, 1679.8247, -756.9032, -2138.9683, -244.85307, 75.86078, 39.3714, -401.36493, -1198.5227, -78.98114, -365.40775, -1329.5681, 1670.4829, -2664.3982, 2351.677, 473.19348, 887.7753, -1943.371, -1057.9922, 1082.3624, -2872.101, 296.93274, -182.094, -1314.6385, 804.99426, 379.8795, 135.8714, -4509.4277, 671.1912, 1107.773, 1507.1389, 1059.555, 2272.071]"
DFbjHBbx78J,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/475643866_18490201441012619_7658633892972583194_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjE0NDB4MTQ0MC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QF2Vy3CYIveFTGFmUS2EJX21FzOHTcjexO3bB8u3NufnxhLqURC42OXjeyHv-4E17o&_nc_ohc=B-8gBCaKTLwQ7kNvwFVRaUl&_nc_gid=h_6GkISX40Hl1hBIUwwubQ&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzU1NjU5MDc0NDk0MzE4MTU3Nw%3D%3D.3-ccb7-5&oh=00_AfHwebVAbCO9aFSgJZJdujaOJjDyQwsU8RTbowdpWYsyqA&oe=67FA4810&_nc_sid=fc8dfb,"[2567.836, 1941.9175, -1815.0841, -801.84485, -1617.623, -1389.109, 1221.4324, -429.44766, 632.1498, 555.4661, 1754.4419, 507.67407, 2189.0896, 463.67413, 23.537964, 2377.3271, -53.46396, -1053.383, -423.9895, -508.22604, -603.7669, -1261.6116, -2698.1792, -391.7417, 2198.2644, 2990.6514, -1250.3551, -1523.7815, 1058.6865, -263.86945, 1532.6897, -1443.5991, 2317.2065, 1429.155, -2095.8506, 1188.4481, -760.9271, -1496.044, 1135.6693, -945.46, -1482.723, -1376.13, -771.66125, -850.41614, -511.52594, 188.80515, -1534.6575, -808.0683, 931.5408, 46.83194, 1229.6948, -3083.3442, -186.3649, 1782.6537, -673.60785, 896.21277, -1603.0061, 2359.1245, -1413.7504, -3210.2986, -876.13904, 254.51611, -664.8255, 965.857, -187.55237, -2185.6062, -677.41846, -2272.113, 2510.5679, 2625.7898, 1570.0997, -1393.1788, 2428.3389, 227.59323, -110.07205, 1967.822, 331.9193, 1853.4629, -1888.6973, -1007.3045, -206.40009, 1449.8726, -1680.988, 728.0796, 364.05725, -1136.303, 216.61847, 1179.1558, -737.44336, 3158.5696, 1479.4819, -1363.5364, 1416.5923, 36.084473, 816.4706, -897.9234, 1685.8284, -738.6423, -2152.6047, -246.01433, 77.83472, 27.337524, -395.75232, -1216.8318, -112.710266, -361.38174, -1305.9961, 1660.3136, -2677.789, 2355.3757, 452.06848, 877.0893, -1953.0498, -1052.8505, 1098.6371, -2879.5498, 282.72137, -173.57047, -1333.2406, 796.8602, 389.9147, 122.42999, -4524.141, 688.08057, 1118.2463, 1523.1296, 1068.6221, 2264.3735]"
DHmbshcMdFQ,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/486765001_18500778439012619_6427846577609269884_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTA3OC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QFuuMq6tW49d0X2KV_WiY34Xizek4ywYm1N9j5Ag2UBIWjpGQM7BKEPCExf_xYVbaM&_nc_ohc=841lTZHX8AsQ7kNvwEWeohB&_nc_gid=U81DOt7i765Z9iGUvPdwwg&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzU5NTY4MzE0MTA1OTA5MzU5Ng%3D%3D.3-ccb7-5&oh=00_AfFM6Swsn-OZa_YHcWZ9qOZIfw6tibnerhsxL8oJS21Q-Q&oe=67FA4824&_nc_sid=fc8dfb,"[2587.1206, 1914.6624, -1849.5293, -805.91327, -1598.0033, -1404.4318, 1234.783, -405.36688, 671.53314, 567.874, 1783.0059, 495.80814, 2190.0107, 486.29776, 47.391968, 2346.9883, -48.674957, -1068.761, -407.49072, -514.79456, -599.2168, -1226.7817, -2698.0913, -389.48975, 2222.0474, 3023.2979, -1281.1738, -1529.7124, 1059.2773, -262.76617, 1542.5344, -1392.7017, 2307.269, 1420.4167, -2085.407, 1190.3744, -775.52246, -1495.0015, 1125.8927, -929.59393, -1489.9131, -1395.5562, -777.3889, -856.26, -485.42313, 165.77849, -1535.4312, -835.24146, 935.39606, 33.308716, 1251.4026, -3084.8586, -162.0463, 1769.1702, -711.35535, 898.4512, -1628.4058, 2357.859, -1417.6877, -3206.6052, -853.63556, 267.1844, -673.17645, 966.7175, -178.27112, -2198.6094, -655.5906, -2233.6523, 2491.7651, 2624.6301, 1563.5657, -1358.157, 2457.175, 219.13565, -84.105225, 1991.5176, 326.16052, 1861.1431, -1898.1592, -1003.71, -216.57495, 1441.4684, -1697.1606, 721.9424, 336.98523, -1113.2645, 221.0932, 1172.4236, -755.2522, 3156.936, 1455.4431, -1385.1346, 1427.0547, 52.750305, 824.39343, -904.07764, 1680.3425, -780.29333, -2146.2725, -251.97043, 85.19946, 48.507782, -402.42834, -1177.829, -70.38501, -362.5549, -1306.5591, 1663.4983, -2653.0486, 2337.0208, 460.73358, 892.91547, -1958.1766, -1033.0073, 1068.4309, -2883.8525, 314.02716, -179.63806, -1303.1553, 804.5709, 381.59933, 152.09583, -4518.8945, 671.4499, 1097.8364, 1508.0996, 1083.8413, 2278.664]"
DH65iw8xFBq,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/487832073_18502519960012619_8997777133527092155_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTA4MC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QGiEaFf-VTt36paI0_nFIC-snJl127PowNtGbOhO6cCO9I6jvnqaV4fewRKncWMNs4&_nc_ohc=N-VEBxl1qM4Q7kNvwG47exd&_nc_gid=r9CHVEM0dBNBiKmQjV2pqw&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzYwMTQ0MzkxOTY3NTk2NDUzMg%3D%3D.3-ccb7-5&oh=00_AfFWF_vQ3n-hcc5-HunfY8KJ5O-bPFqQ5u4LArDt8Z5rUQ&oe=67FA7B62&_nc_sid=fc8dfb,"[2585.2937, 1911.3706, -1852.7365, -805.64624, -1605.5723, -1403.177, 1233.5964, -406.1776, 673.4081, 567.37744, 1787.8977, 496.8471, 2184.3677, 491.35486, 46.82495, 2344.7798, -45.65045, -1072.2524, -403.47852, -523.65015, -599.98047, -1227.3903, -2699.333, -385.87738, 2218.2375, 3030.8047, -1284.0278, -1527.4763, 1058.8652, -260.03745, 1542.6982, -1390.179, 2308.2517, 1418.99, -2083.71, 1192.7568, -783.46594, -1493.0281, 1120.2905, -931.8675, -1490.3967, -1399.5321, -780.916, -858.8368, -485.95303, 161.4451, -1537.5352, -837.1841, 930.5556, 27.095367, 1248.0159, -3084.5425, -160.82562, 1763.5781, -714.31274, 899.5305, -1633.4058, 2357.4666, -1417.8019, -3209.4592, -855.64197, 268.36325, -673.4498, 966.91016, -177.86414, -2199.1836, -662.30536, -2228.9204, 2490.7542, 2627.9697, 1573.279, -1349.0195, 2457.596, 220.36557, -80.49219, 1992.743, 323.33624, 1870.067, -1899.7218, -1007.38525, -220.25397, 1444.8439, -1697.8069, 724.20654, 331.8315, -1115.0803, 212.52167, 1171.5967, -764.7401, 3157.2866, 1449.5177, -1386.7678, 1424.7754, 52.89142, 813.49805, -905.4054, 1676.4248, -782.04095, -2143.4666, -252.89615, 83.01691, 50.907043, -403.72754, -1175.4868, -63.040527, -364.3116, -1314.8811, 1669.7192, -2654.2954, 2335.2788, 469.17303, 893.93146, -1956.6403, -1036.2885, 1064.0177, -2882.2673, 314.8313, -188.5499, -1302.7489, 810.3515, 377.43903, 151.7052, -4512.42, 667.1629, 1097.2976, 1502.8503, 1078.8135, 2278.8406]"
DFf2EVcOFeq,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/475446112_18490411135012619_843453845691122121_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjEwODB4MTA4MC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QGwaNSJqnJtYbIfOk5Q_kbS1NalMVM69_Whr09iwNzKT3GXdwv7FE4BNaehZb4MhY4&_nc_ohc=hc0oDNtqWxgQ7kNvwHRFgDJ&_nc_gid=qYkEtl3p66vJ_JshDBv-Dw&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzU1NzgwMDAyMzA1NzUyMDU1NA%3D%3D.3-ccb7-5&oh=00_AfH82tdgrQBlZaV0SPSiiQY-PNYLJsUEjYaAxSTYLjpwLA&oe=67FA5CAF&_nc_sid=fc8dfb,"[2574.8774, 1917.0305, -1840.1489, -794.5134, -1617.0474, -1401.3438, 1227.6445, -435.6852, 645.5096, 567.10736, 1763.8306, 499.82904, 2174.0547, 471.35648, 47.424133, 2361.2588, -41.685608, -1065.1602, -417.50208, -522.9672, -599.9679, -1242.8088, -2695.6836, -394.00354, 2214.126, 3011.857, -1272.8079, -1522.6572, 1064.0907, -259.32324, 1540.4868, -1419.669, 2309.5679, 1438.8906, -2084.41, 1176.5925, -774.40076, -1497.9436, 1110.1876, -943.9003, -1477.6145, -1395.6125, -778.5278, -845.1843, -509.12665, 176.53168, -1531.6401, -819.4147, 921.651, 39.853455, 1236.4939, -3084.3364, -177.60461, 1772.1572, -684.49866, 900.19055, -1614.4612, 2359.8457, -1411.9839, -3211.9514, -878.36743, 255.40002, -657.4433, 957.5872, -188.98328, -2197.478, -679.0861, -2249.122, 2503.3582, 2625.204, 1582.077, -1357.7463, 2439.9492, 220.63345, -99.42572, 1976.4805, 337.92334, 1871.6892, -1897.9142, -1011.83374, -200.60759, 1465.5298, -1682.8555, 735.2893, 347.3986, -1125.3997, 212.23993, 1187.8447, -752.12134, 3163.85, 1455.2599, -1368.8816, 1414.6582, 39.887756, 803.5499, -901.4124, 1684.1489, -748.74646, -2139.7788, -244.16974, 69.49939, 37.2193, -403.31464, -1205.4375, -83.737915, -365.3993, -1334.3561, 1668.8359, -2664.8794, 2353.995, 477.9008, 885.88837, -1941.0133, -1063.1926, 1092.1392, -2870.6, 294.34534, -176.78198, -1317.4514, 801.7608, 384.3464, 131.34393, -4511.7275, 673.4038, 1114.9971, 1506.1782, 1053.1016, 2269.4985]"
DFObyqqBeRg,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/474676592_18489340345012619_7468197314546895408_n.jpg?stp=dst-jpg_e35_p1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjE0NDB4MTgwMC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QE_fPiv_hJJE5JOHN2Smqznmyk_kCkH8QIkW2EacGswzCDmycskumDyjExUKDnSzbY&_nc_ohc=CB2XVB2DHK8Q7kNvwFcqNa0&_nc_gid=KelhyARtNc6oH5iezLA-8Q&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzU1Mjg5OTM4NTA3MzcyMjQ2NA%3D%3D.3-ccb7-5&oh=00_AfGLjR3fSuQK4iOtxRKNcbSV3k-sIDqrqpG14qjfqqLGJA&oe=67FA5968&_nc_sid=fc8dfb,"[2589.3914, 1884.8501, -1880.8475, -805.6731, -1593.2988, -1414.5906, 1250.9647, -389.8448, 699.34863, 583.7561, 1809.6951, 484.7777, 2169.6738, 512.07104, 71.67566, 2324.4058, -39.247864, -1083.9761, -382.05334, -533.7587, -591.32, -1203.5786, -2704.3105, -383.0837, 2232.0742, 3057.3625, -1302.4456, -1526.8635, 1058.4592, -260.45316, 1546.2981, -1343.6619, 2306.4233, 1409.58, -2077.6763, 1195.9973, -798.5261, -1498.6958, 1102.8517, -920.5961, -1498.3624, -1419.8754, -785.82745, -861.1545, -472.82047, 143.67412, -1534.4961, -857.15735, 932.9541, 17.39801, 1266.4082, -3080.1663, -145.61713, 1750.7241, -744.68555, 899.1686, -1658.6467, 2354.3594, -1424.7609, -3217.7058, -844.692, 278.90927, -683.3561, 954.0593, -178.45264, -2211.9883, -650.166, -2194.8757, 2479.9336, 2623.5303, 1571.5443, -1320.3088, 2482.2766, 209.76575, -56.80966, 2004.8214, 315.98615, 1886.1825, -1907.9453, -997.4651, -233.61916, 1436.4921, -1713.9674, 724.42487, 314.2801, -1107.9149, 210.77441, 1170.7852, -789.2119, 3151.478, 1424.5925, -1400.9109, 1431.0952, 67.690125, 812.53796, -906.7169, 1663.3768, -812.5503, -2129.9736, -251.51651, 91.3183, 69.26361, -408.8623, -1140.9292, -23.872314, -365.50833, -1326.959, 1678.3279, -2635.6406, 2326.6309, 476.57428, 907.7289, -1952.793, -1032.2389, 1041.1533, -2883.0195, 337.7918, -198.38739, -1273.1843, 820.4274, 362.23123, 172.93347, -4502.7227, 648.5835, 1077.4221, 1488.0948, 1079.4805, 2291.4155]"
DG6uwZKACNm,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/483087828_18496980367012619_942161203460260827_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTI2NC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QGx9Sk_QWw8ed4JqDZF-8uDNVm7394fJZd_VqaipkZIk8LS4mqlM0FpJcXHby3qsOE&_nc_ohc=ijl-14RA_A0Q7kNvwETxfLV&_nc_gid=2BOiiFkiM4-VMXSDUOKwOA&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzU4MzM4MjA3NzM0MjQ5MDM2Ng%3D%3D.3-ccb7-5&oh=00_AfEDsoleyk9IShsHcfXYxc1x2INOWitdXUpvsEWTaAHihA&oe=67FA742C&_nc_sid=fc8dfb,"[2583.154, 1905.1779, -1854.9146, -801.8259, -1609.6812, -1409.0677, 1235.2644, -416.35764, 668.7234, 572.18726, 1781.0557, 494.7059, 2172.455, 485.50583, 55.76483, 2346.125, -41.00119, -1071.7102, -405.10828, -524.7925, -596.55774, -1225.7192, -2701.1572, -389.8972, 2221.1184, 3029.21, -1283.327, -1525.5636, 1061.4484, -259.87222, 1544.925, -1391.1421, 2309.1982, 1428.2982, -2080.812, 1183.3331, -781.62823, -1497.4563, 1108.6906, -932.4876, -1484.788, -1403.5251, -782.49286, -854.19836, -494.87592, 162.52095, -1533.2513, -833.9122, 926.48224, 31.453491, 1249.2524, -3084.546, -163.96542, 1763.9564, -710.5212, 898.7832, -1628.0156, 2358.7046, -1416.927, -3211.1492, -863.6565, 264.21918, -666.4513, 960.0567, -183.93481, -2204.5598, -665.3147, -2227.258, 2494.019, 2624.224, 1576.4325, -1344.0073, 2454.0527, 215.68524, -85.51764, 1987.4215, 332.8861, 1874.3519, -1902.2413, -1007.95184, -209.79388, 1454.3457, -1691.8652, 730.0266, 334.66205, -1115.4597, 213.26184, 1178.5033, -763.973, 3160.7544, 1444.7925, -1381.7806, 1420.7224, 51.341003, 808.2089, -904.673, 1678.0869, -776.10925, -2137.6277, -247.6058, 77.93616, 48.897797, -404.841, -1179.1392, -62.22058, -365.88513, -1328.084, 1671.6565, -2653.739, 2341.502, 475.55118, 894.91327, -1947.7134, -1046.821, 1070.5955, -2874.6516, 312.58453, -184.60767, -1299.5294, 808.0572, 378.0198, 150.27203, -4508.2783, 665.2251, 1098.5594, 1501.2322, 1066.8315, 2277.752]"
