id,shortcode,caption,head_image_url,audio_type,music_title,music_artist
3597918104681722762_54284618,DHuX3QggDOK,"MINNEAPOLIS 💥 I love you to death - thank you for an incredible sold out show! 💙 Shoutout to @spotslaststop 🐶 Go adopt your new best friend! 
#comedy #mattrife #minnesota #minneapolis",https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/486621671_18501439888012619_8245677272886107803_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTA4MC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QG3b_dFMQTy-uxz0Lv71_U9VJtkB1HfogkvaqZ_QD2rEQBemje5ValHpG1MVfPWRAg&_nc_ohc=E6Ph2g9BJnMQ7kNvwG8C9o2&_nc_gid=6FMbElMMSMS-Lc34Dn2WPQ&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzU5NzkxODA5NTM4NzM2NzU3Mw%3D%3D.3-ccb7-5&oh=00_AfHqjuJs41llmdtK8YVypmvpAeaWlAtkMZ_LdIGqPlKbwg&oe=67FA66F8&_nc_sid=fc8dfb,licensed_music,Mmhmm,BigXthaPlug
3572307178285191786_54284618,DGTYnOmRFJq,"Tour starts next month!! 😈
Dallas & Houston are up first!
What city are you coming to?",https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/480497824_18494075611012619_4684597263825896096_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTE5Mi5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QGaGtuSaZPS46eciyVMeMspkXudnp-Me962u6F67jSZWtHZTWQ8M9I4AooZ-S_S-og&_nc_ohc=1fswTVWwXZoQ7kNvwEC4E6f&_nc_gid=1HIvqeYCvbHkGULwRiXYYA&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzU3MjMwNzE2ODI0NDE3NTM2MQ%3D%3D.3-ccb7-5&oh=00_AfEy8WUoYHyanYnn1X0GvX6iqzB8L-72HLt-LAtruSRPcg&oe=67FA56D4&_nc_sid=fc8dfb,licensed_music,PISTOL PACCIN,"NLE Choppa, BigXthaPlug"
3581958953652804044_54284618,DG1rLC4gVnM,"#StayGolden TOUR STARTS THIS WEEKEND!!! 
Dallas & Houston yall are first! 🤠
Im so fkn excited to see y’all- this new show is so much fun! Tag a friend you’re coming with, and let me know which city 🥰 
#comedy #standup #standupcomedy #funny #mattrife #tour",https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/482953094_18496592656012619_7334614050662916748_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjE0NDB4MTQzOC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QEi3FHCgP1VXKba_4R4W_oUAhIAXKE2uPHdcJG-0K4Rjl1GPhD_XaQW75hyob_N7U8&_nc_ohc=QTL0kuV4QPgQ7kNvwFDFeWj&_nc_gid=9bziboFlyLFNpNJwCRoB1A&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzU4MTk1ODk1MzY1MjgwNDA0NA%3D%3D.3-ccb7-5&oh=00_AfE6prTKg_PYX9EqTQ24u5JRvLS6bHqp4zJ3RjqOo-RejA&oe=67FA7822&_nc_sid=fc8dfb,licensed_music,Straight and Narrow,Sam Barber
3558812879329205702_54284618,DFjcXVWgJ3G,🤫 A glimpse into the best job I’ve ever had 🤭 #RollingLoud,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/476283013_18490726633012619_6368642503467551996_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTQ0MC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QFsI6CS9CZIYzdSn9jLZ1k9tjMbpz45Fst13BVmn9eo4DY_ZWGmWSC5T8j4dP-SROE&_nc_ohc=Rf8xtWG377sQ7kNvwEVRUMJ&_nc_gid=iEGCy4RcklcXMGzSivzjWA&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzU1ODgxMjg2Njk1NjE1ODE5Mg%3D%3D.3-ccb7-5&oh=00_AfHAohKdo9-pH0vT_YGqUA1NiUNMv1VEjs4MWxEnq06xOA&oe=67FA6410&_nc_sid=fc8dfb,licensed_music,Don't Give Up On Us,Owen Wilson
3556590744943181577_54284618,DFbjHBbx78J,When you’re trying to enjoy yourself but her extensions are stapled in… 💁🏼‍♀️,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/475643866_18490201441012619_7658633892972583194_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjE0NDB4MTQ0MC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QF2Vy3CYIveFTGFmUS2EJX21FzOHTcjexO3bB8u3NufnxhLqURC42OXjeyHv-4E17o&_nc_ohc=B-8gBCaKTLwQ7kNvwFVRaUl&_nc_gid=h_6GkISX40Hl1hBIUwwubQ&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzU1NjU5MDc0NDk0MzE4MTU3Nw%3D%3D.3-ccb7-5&oh=00_AfHwebVAbCO9aFSgJZJdujaOJjDyQwsU8RTbowdpWYsyqA&oe=67FA4810&_nc_sid=fc8dfb,licensed_music,Comes & Goes (feat. Tommy Newport),"BigXthaPlug, Tommy Newport"
3595683159321203024_54284618,DHmbshcMdFQ,"PITTSBURGH!! I love you!!!! 💛🖤 You “steel” my heart every year! 
Shoutout to @pawsacrosspittsburgh for bringing beautiful lil pups! Let’s find’em homes! 🐾
#comedy #mattrife #pittsburgh #standupcomedy #staygoldentour",https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/486765001_18500778439012619_6427846577609269884_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTA3OC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QFuuMq6tW49d0X2KV_WiY34Xizek4ywYm1N9j5Ag2UBIWjpGQM7BKEPCExf_xYVbaM&_nc_ohc=841lTZHX8AsQ7kNvwEWeohB&_nc_gid=U81DOt7i765Z9iGUvPdwwg&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzU5NTY4MzE0MTA1OTA5MzU5Ng%3D%3D.3-ccb7-5&oh=00_AfFM6Swsn-OZa_YHcWZ9qOZIfw6tibnerhsxL8oJS21Q-Q&oe=67FA4824&_nc_sid=fc8dfb,licensed_music,"Young, Wild & Free (feat. Bruno Mars)",Wiz Khalifa
3601443929708580970_54284618,DH65iw8xFBq,As Time Passes 🤟🏼🥰,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/487832073_18502519960012619_8997777133527092155_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTA4MC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QGiEaFf-VTt36paI0_nFIC-snJl127PowNtGbOhO6cCO9I6jvnqaV4fewRKncWMNs4&_nc_ohc=N-VEBxl1qM4Q7kNvwG47exd&_nc_gid=r9CHVEM0dBNBiKmQjV2pqw&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzYwMTQ0MzkxOTY3NTk2NDUzMg%3D%3D.3-ccb7-5&oh=00_AfFWF_vQ3n-hcc5-HunfY8KJ5O-bPFqQ5u4LArDt8Z5rUQ&oe=67FA7B62&_nc_sid=fc8dfb,licensed_music,As Time Passes,Sam R Barber
3557800023057520554_54284618,DFf2EVcOFeq,"🤘🏼LAST ADDED SHOWS OF THE YEAR!!! 🤘🏼
•VEGAS
•SARATOGA SPRINGS, NY
•SALT LAKE CITY
•ROGERS, AR
•SAN ANTONIO

Tickets on sale my website TODAY at noon your local time!
I love yall! I cannot wait to see you and laugh our asses off!😍🥰
#comedy #standup #standupcomedy #funny #mattrife #staygolden #tour",https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/475446112_18490411135012619_843453845691122121_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjEwODB4MTA4MC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QGwaNSJqnJtYbIfOk5Q_kbS1NalMVM69_Whr09iwNzKT3GXdwv7FE4BNaehZb4MhY4&_nc_ohc=hc0oDNtqWxgQ7kNvwHRFgDJ&_nc_gid=qYkEtl3p66vJ_JshDBv-Dw&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzU1NzgwMDAyMzA1NzUyMDU1NA%3D%3D.3-ccb7-5&oh=00_AfH82tdgrQBlZaV0SPSiiQY-PNYLJsUEjYaAxSTYLjpwLA&oe=67FA5CAF&_nc_sid=fc8dfb,licensed_music,White Wedding,Billy Idol
3604316670938575496_54284618,DIFGuptT_KI,"Popped in for a lil spot in the hometown, Columbus, on my boy @shanemgillis show at Nationwide Arena! I’ll be back Aug. 9th for my show! 
If you haven’t seen Shane live, don’t hesitate, he’s undeniably one of the funniest comics on the planet, and an even better dude. @bigjayoakerson also fucking crushed! Always has, always will 🙏🏼",https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/489321336_18503345401012619_84050522785693779_n.jpg?stp=dst-jpg_e35_p1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTgwMC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QG-EhmBPkiXT7vpJGJtS3O0tStIAdn5ig1MHT2Eac1dNKTm8UtylxyjUI3WjAuL8xI&_nc_ohc=uJIBSIFe7SAQ7kNvwHbXPo3&_nc_gid=vWzdvHNu-eQ50pSCi7CNcQ&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzYwNDMxNjY1MDUwMzg0NjY2NQ%3D%3D.3-ccb7-5&oh=00_AfFSZXuzIli30ub_-wCi-53Foxmlevf6DzUeaw_ETYSo5A&oe=67FA5D76&_nc_sid=fc8dfb,,,
3552899385073722464_54284618,DFObyqqBeRg,"Wonderin which show you’re coming to this year 🙂‍↕️
Let me know 👇🏼",https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/474676592_18489340345012619_7468197314546895408_n.jpg?stp=dst-jpg_e35_p1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjE0NDB4MTgwMC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QE_fPiv_hJJE5JOHN2Smqznmyk_kCkH8QIkW2EacGswzCDmycskumDyjExUKDnSzbY&_nc_ohc=CB2XVB2DHK8Q7kNvwFcqNa0&_nc_gid=KelhyARtNc6oH5iezLA-8Q&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzU1Mjg5OTM4NTA3MzcyMjQ2NA%3D%3D.3-ccb7-5&oh=00_AfGLjR3fSuQK4iOtxRKNcbSV3k-sIDqrqpG14qjfqqLGJA&oe=67FA5968&_nc_sid=fc8dfb,licensed_music,Wondering Why,The Red Clay Strays
