"artist","song","vector"
"Selena Gomez, benny blanco, Gracie Abrams","Call Me When You Break Up","[0.927291214466, 0.449943840504, 3.7022228241, 1095.79370117, 0.0918599888682, 7.33317661285, 1056.05004883, 15.1144132614, 0.496105819941, 14.136713028, 4627973.5, 0.631879389286, 0.000972031324636, 0.0135468002409, 0.00320977834053, 0.0033833659254, 0.0043859295547, 0.00346652092412, 0.000643219973426, 0.00105155922938, 0.000809475488495, 0.000749359605834, 0.00064962322358, 0.000317003257805, 0.000252791884122, 0.000374890427338, 0.000192907420569, 0.00020648521604, 0.000274586433079, 0.000168402431882, 0.000215808395296, 0.000182630043128, 0.000130122556584, 0.000139878524351, 8.54580794112e-05, 9.03689360712e-05, 6.73554022796e-05, 1.05070848804e-05, 1.97510212274e-06, -687.820617676, 131.016952515, 13.1396923065, 22.9860191345, 7.6633939743, 0.617903351784, 2.90668582916, -1.88547217846, 0.122396580875, 0.932648897171, -2.50307559967, 1.52380180359, -0.635467708111, -38.6728096008, 99.4096603394, -100.172821045, 29.8011188507, -55.3918380737, 10.1224861145, -35.8012771606, 9.04184818268, -19.9248371124, 3.66131520271, -5.30532932281, 0.425788849592, 0.567141234875, 148.034042358, 1.20784628391, 4.81668949127, 0.558044672012, 15.1979494095, 1.84921419621, 0.812830805779]"
"Selena Gomez, benny blanco","Sunset Blvd","[0.894630074501, 0.45953553915, 4.20296669006, 1290.05175781, 0.0729636773467, 7.43520402908, 1024.37683105, 18.2941017151, 0.462447762489, 15.7611856461, 4349208.5, 0.721494376659, 0.000926304084715, 0.0133262649179, 0.00200800132006, 0.000687224906869, 0.00223542796448, 0.00351580744609, 0.00231574615464, 0.000877916405443, 0.000879713217728, 0.00190953817219, 0.000509801786393, 0.000571223848965, 0.000417381641455, 0.000467506208224, 0.000370755326003, 0.000178844333277, 0.000264260743279, 0.000316442543408, 0.000353159179213, 0.000329127447912, 0.000266850693151, 0.000122318801004, 8.59915089677e-05, 0.00010434336582, 4.20341493736e-05, 6.09861672274e-06, 2.2812403131e-06, -670.63104248, 128.716384888, 12.8696069717, 38.562286377, 1.85982048512, 4.19003820419, 7.13380861282, 1.67196691036, 4.50884771347, 7.27040481567, 1.41136062145, 4.53052091599, 0.155960783362, -26.5597171783, 107.198547363, -104.206535339, 45.6507720947, -55.515083313, 9.7742805481, -22.8839588165, 12.0638036728, -13.4844369888, 7.0404958725, -0.955806076527, -0.249409601092, 3.4525244236, 137.985107422, 1.07427597046, 3.35915565491, 0.533265769482, 15.294916153, 1.8069024086, 0.709075391293]"
"Ed Sheeran","Perfect","[0.850314557552, 0.44376128912, 3.41218090057, 1115.00463867, 0.0665972083807, 7.15692806244, 1290.1385498, 20.3927536011, 0.509102165699, 14.6735124588, 4850328, 0.660390198231, 0.000310750794597, 0.0113285612315, 0.00373759912327, 0.0017361426726, 0.00524302292615, 0.0023288000375, 0.00111045059748, 0.00110720668454, 0.00113851099741, 0.00109946040902, 0.000439203548012, 0.000207363074878, 0.000314867182169, 0.000432711764006, 0.00024113272957, 0.000249320699368, 0.000344663218129, 0.000382119906135, 0.000248057331191, 0.000439525785623, 0.000131637221784, 0.000154319015564, 0.000163493503351, 0.000226447009481, 0.00012059603614, 4.88279474666e-05, 1.58730326802e-05, -673.932067871, 134.221954346, 20.2857875824, 33.1036567688, 4.22578287125, -0.786933004856, 0.870960175991, 4.353951931, -4.63692235947, 5.08414173126, -6.54850006104, -3.29980039597, -2.83996677399, -25.7072505951, 104.320503235, -91.9872360229, 36.0280914307, -56.9104766846, 2.90703296661, -33.7966461182, 6.73374843597, -22.2549438477, -3.48972058296, -11.1506099701, -3.03402161598, -6.57699584961, 95.0562515259, 1.15530741215, 2.96106481552, 0.576412498951, 16.0781669617, 1.63255691528, 0.786770045757]"
"New West","Those Eyes","[0.819487273693, 0.430992782116, 4.39314746857, 745.148742676, 0.0585654452443, 6.95417118073, 847.007385254, 15.0961332321, 0.569346785545, 14.6460876465, 3437683.5, 1.21999073029, 6.74725670251e-05, 0.00344136776403, 0.00246392353438, 0.0015441380674, 0.00416300958022, 0.0032387864776, 0.00376904127188, 0.00170988368336, 0.00238933647051, 0.00192083965521, 0.000596929981839, 0.000761806848459, 0.000626019667834, 0.000451184401754, 0.000247146235779, 0.000231773301493, 0.000106052801129, 8.9797002147e-05, 6.9247202191e-05, 6.68370776111e-05, 5.31570694875e-05, 3.99009913963e-05, 3.53448049282e-05, 3.26390108967e-05, 1.70314033312e-05, 1.07211517388e-05, 7.97939605945e-07, -696.759277344, 170.790618896, -6.06249237061, 12.6661977768, -6.15626621246, -1.80469739437, -8.59750938416, -4.27987909317, -4.17852258682, -0.956484913826, -9.74332046509, -4.54240608215, -5.6886510849, -53.4386520386, 136.330123901, -120.255874634, 8.25907230377, -61.3461151123, -1.18101477623, -38.9575271606, -2.37986135483, -22.8591041565, -4.3707280159, -17.4418983459, -7.20092773438, -6.93886327744, 119.926635742, 0.9817237854, 2.7857837677, 0.555743932724, 16.5701255798, 1.59484291077, 0.787473022938]"
"Jungle","Ive Been In Love (feat. Channel Tres)","[0.314244657755, 0.451384931803, 3.97745323181, 1368.6986084, 0.0959928408265, 7.27992343903, 1465.10534668, 20.1179542542, 0.479414790869, 14.5338916779, 4568313.5, 0.876195192337, 0.0057288762182, 0.0190327670425, 0.00599480699748, 0.00105667521711, 0.00152110785712, 0.00166490930133, 0.00154270685744, 0.00123306352179, 0.00151230918709, 0.000911347626243, 0.000630730472039, 0.000567960203625, 0.000420404161559, 0.000437186274212, 0.000464719021693, 0.000405126396799, 0.000340432627127, 0.000531557423528, 0.000370799185475, 0.000235645391513, 0.000177360241651, 9.24186824705e-05, 0.000100646037026, 9.95091395453e-05, 0.000108059648483, 5.39897773706e-05, 1.06835514089e-05, -704.183776855, 132.911468506, -5.17713832855, 22.763381958, 0.516556620598, -6.05096054077, 0.872981607914, 3.61576032639, 0.121596105397, 4.58125543594, 1.82942354679, 0.387752860785, -0.623523533344, -53.634223938, 91.7375946045, -111.662399292, 18.0184860229, -51.5032615662, 0.803279042244, -29.8933372498, 14.1419916153, -19.0039691925, 3.3220512867, -10.9456672668, -0.416187644005, -7.63701105118, 129.225738525, 1.19981908798, 4.90599918365, 0.474804997444, 13.4148435593, 2.03641748428, 0.643619537354]"
"JISOO","FLOWER","[0.915333032608, 0.425088703632, 3.1590681076, 1087.39343262, 0.0808952003717, 6.97354507446, 1902.4185791, 31.2310199738, 0.376631736755, 11.2460441589, 5478072, 1.16606473923, 0.00023184537713, 0.0166414957494, 0.0126613276079, 0.000924246560317, 0.00119369267486, 0.000880529056303, 0.00135939475149, 0.00115322950296, 0.00107535778079, 0.00169707776513, 0.000976566690952, 0.00110293622129, 0.000635900185443, 0.000428270664997, 0.000766124401707, 0.000479705340695, 0.000476712040836, 0.000224959352636, 0.000162968557561, 0.000125829450553, 0.000164333439898, 0.000122636978631, 0.00017476559151, 0.000204372932785, 0.000162377764354, 8.61514199642e-05, 0.000428934319643, -705.039306641, 121.165992737, 16.522354126, 11.8640565872, 14.0000104904, 14.8722724915, 6.78791761398, 12.9490299225, 11.1000995636, 15.6063594818, 2.48919510841, 5.73737049103, 8.85627651215, -33.7498550415, 62.1965293884, -70.8646621704, 1.69480454922, -22.9028244019, 12.6694955826, -5.52219057083, 0.645738184452, 4.96546030045, -8.01164340973, -2.12381315231, -15.1511917114, -4.68757677078, 123.96723175, 1.1443322897, 3.93875408173, 0.530178487301, 17.2101669312, 1.51854503155, 0.554672956467]"
"Travis Scott","Antidote","[0.884967505932, 0.448924273252, 3.98195934296, 1208.97875977, 0.114048607647, 7.39638566971, 1044.92138672, 36.5986175537, 0.415456473827, 14.8989839554, 5550170, 0.722818911076, 0.0274757500738, 0.0384673662484, 0.0032020509243, 0.00115391472355, 0.00205664522946, 0.00184376258403, 0.00145352445543, 0.00118756457232, 0.00144199328497, 0.000849400996231, 0.00081819249317, 0.000738834787626, 0.000712168519385, 0.000697449839208, 0.000703336147126, 0.000376453128411, 0.000312708667479, 0.00025218151859, 0.000171301988303, 0.000207955410588, 0.000327251269482, 0.000468776241178, 0.000358169141691, 0.000621124112513, 0.000549104530364, 0.00016667903401, 2.0598872652e-05, -682.099853516, 130.845779419, 9.95111656189, -12.6259822845, 6.11218500137, 11.8615140915, 0.28939563036, 8.16676044464, 0.927869081497, 7.39133358002, 6.59980344772, 1.46078038216, 1.13821995258, -28.4587135315, 83.8884963989, -99.8376693726, -0.806389987469, -52.1901893616, 30.5827846527, -32.5450401306, 10.7187194824, -11.8579540253, 6.50169372559, -8.90294075012, 3.51711392403, -7.75500154495, 130.428634644, 1.02343165874, 3.42201685905, 0.482760518789, 13.29945755, 1.99463438988, 0.617486894131]"
"BigXthaPlug","Texas","[0.914849042892, 0.453464001417, 5.77963829041, 1613.32458496, 0.0826548337936, 7.50354337692, 1567.39111328, 22.6762332916, 0.405788749456, 11.9480543137, 5792683.5, 0.452589601278, 0.00421900767833, 0.0223110951483, 0.0020103843417, 0.000557783292606, 0.00176251493394, 0.00048736637109, 0.00118995190132, 0.000242322697886, 0.000846114184242, 0.000428170722444, 0.000312502525048, 0.000514831976034, 0.000667834770866, 0.000402679550461, 0.000332903000526, 0.000468267942779, 0.0002819574147, 0.000255979131907, 0.000434879038949, 0.000212727740291, 0.000222184738959, 0.00021511981322, 0.000350354559487, 0.000352313887561, 0.000208371813642, 7.58749738452e-05, 1.34575282118e-06, -721.66998291, 102.021888733, 17.6199817657, 19.0717105865, 9.15213298798, 14.9211673737, -2.62439274788, 8.24229717255, 1.43667340279, 4.18679285049, 4.6758055687, 6.47902965546, 4.40762519836, -91.6971206665, 79.9249038696, -96.3948440552, 36.6402435303, -55.4827461243, 25.1606311798, -33.3571929932, 10.1497249603, -11.4677581787, 6.98838853836, -8.49629402161, 4.38830327988, -7.5459651947, 144.898696899, 1.22385668755, 4.61865663528, 0.48588424921, 13.677895546, 1.94152474403, 0.624629318714]"
"BigXthaPlug","Active","[0.937071382999, 0.439192354679, 3.5865790844, 1241.50085449, 0.0958141386509, 7.26500415802, 815.560546875, 27.9510917664, 0.411668807268, 11.5489177704, 6134168.5, 0.405819654465, 0.00492886826396, 0.0335507728159, 0.00308470986784, 0.0033534693066, 0.00450599938631, 0.00254453299567, 0.00106182252057, 0.000655799580272, 0.0002605629561, 0.00041867341497, 0.000231013123994, 0.000294184690574, 0.000497966189869, 0.000398946693167, 0.000206344382605, 0.000238069274928, 0.000233371785725, 0.000146766586113, 0.000613250536844, 0.000197173838387, 0.00018940877635, 0.000230102261412, 0.000369051791495, 0.000282875960693, 0.000305147870677, 0.000363353145076, 1.1145989447e-06, -701.362915039, 129.629196167, 37.4936447144, 37.5677146912, 21.4642868042, 17.6671352386, 7.56141757965, 8.22333335876, -3.51947331429, 5.02894830704, 5.03292608261, 2.90786242485, 3.3759059906, -47.8892364502, 101.472396851, -68.7928924561, 50.165397644, -41.8702468872, 22.0007305145, -32.2035903931, 8.84513759613, -18.5159568787, 6.35631608963, -5.19352006912, 3.37630319595, -9.11426258087, 139.947097778, 1.18738424778, 5.14601230621, 0.445344358683, 12.4770441055, 2.00537014008, 0.513722658157]"
"Creed","One Last Breath","[0.470398664474, 0.435144305229, 4.75750350952, 695.215637207, 0.0925123021007, 6.61897659302, 716.063598633, 12.2406520844, 0.515298545361, 10.3986778259, 3616932.5, 0.59590780735, 0.00047847663518, 0.0205303449184, 0.0113701084629, 0.00283590960316, 0.00333263655193, 0.00216357363388, 0.000575217127334, 0.000376081297873, 0.000407111569075, 0.000240291774389, 0.000313790224027, 0.00036528360215, 0.000281301647192, 0.000282632448943, 0.000436342408648, 0.000274956633803, 8.7506523414e-05, 5.22146547155e-05, 9.74250287982e-05, 7.09887899575e-05, 5.04732779518e-05, 0.000111723660666, 5.36690022273e-05, 6.91769673722e-05, 4.72513274872e-05, 1.69424583873e-05, 2.26349447985e-06, -757.55456543, 178.50630188, 18.5746936798, 27.8466529846, 21.3574028015, 12.0465459824, -2.73342061043, -3.07626533508, -8.49387168884, -1.00844681263, -4.81232976913, -5.29855918884, 3.5242164135, -106.312232971, 150.309356689, -85.7090988159, 26.6051616669, -37.3679275513, 4.77522087097, -39.9685249329, -8.04713821411, -17.584482193, -3.92307424545, -5.51797389984, -4.60705852509, -3.65107369423, 127.931144714, 1.25252449512, 4.51816749573, 0.532906651497, 12.3943653107, 2.11557865143, 0.766445457935]"
