id,shortcode,caption,head_image_url,audio_type,music_title,music_artist
3609897939860507725_2204228646,DIY7wzczMxN,Japan vlog is finally up! Link in bio ★彡,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/491469839_18458439673076647_7493561557687713378_n.jpg?stp=dst-jpg_e35_p1080x1080_tt6&cb=30a688f7-fa102a98&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjEyODB4MTYwMC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QEvnlEMwAUjrUpPsaZoP_CRatrJDU0j1qBe2quYrEsDb2CTInYFVFEceCBTcKeGj_A&_nc_ohc=hjGGaq9Z5U8Q7kNvwERargN&_nc_gid=Zivn3b7e-eA0hX5jD9B7gw&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzYwOTg5NzkyNTY3NTU3ODEzNA%3D%3D.3-ccb7-5-cb30a688f7-fa102a98&oh=00_AfGdY068PJujynxUqUc04Xd2byERhBIrTtctlJdmgH6pPg&oe=6804FB5C&_nc_sid=fc8dfb,licensed_music,Tokai,Taeko Onuki
3577047586706020312_2204228646,DGkOdP-R9fY,Hihihi ᕦ(ò_óˇ)ᕤ🩶,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/482059226_18449728798076647_821543405624782645_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&cb=30a688f7-fa102a98&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTA4MC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QFAgsLyCDYwGJ1t6RfPJZkcC2yQu1yUKQIZaCn9Vcmj1l4e29ynq3D1FAaAnfAkrMw&_nc_ohc=5N2c4p1xWVgQ7kNvwHvjiHt&_nc_gid=POQbkZR0UFig0YWaYeYtqg&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzU3NzA0NzU3NTY4MzE5OTc3Nw%3D%3D.3-ccb7-5-cb30a688f7-fa102a98&oh=00_AfFek1mIEyZCJx5A2Clx6jIaehPmxeileVjGh4dWcnFMKw&oe=6804FAC1&_nc_sid=fc8dfb,licensed_music,Cariño,The Marías
3563235172982084848_2204228646,DFzJ4LQxlTw,on campus to yap with friends🫶🏻,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/476572978_18446598538076647_6676517143366546493_n.jpg?stp=dst-jpg_e35_p1080x1080_tt6&cb=30a688f7-fa102a98&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTc5OS5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QFYMoLDnt_HBtMNq7jXbh1tZ9ERgLXIKjSML8curWn6T7XumtBU-BSH-B7-dVVj91g&_nc_ohc=S0sZ7_WvnscQ7kNvwEEiNR4&_nc_gid=4axRwfkEbVsYHhxn-tj7Cw&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzU2MzIzNTE2MjMwMzMyNTk4NA%3D%3D.3-ccb7-5-cb30a688f7-fa102a98&oh=00_AfGoeSo2ze0v-aA6e2yfUHoxdWBbZ7CPVYf7BR9Xklt9Nw&oe=6804F72F&_nc_sid=fc8dfb,licensed_music,Dream,"Suzy, BAEKHYUN"
3546551355818943918_2204228646,DE34artRKWu,"currently in my queue: 5 dollar pony by Mac miller, Love song by Lana del Rey, Sleepwalk by Deftones, Face by Brockhampton and Liability by Lorde 🧘🏻‍♀️",https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/472944005_18443084449076647_6207344045209073577_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&cb=30a688f7-fa102a98&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTQ0MC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QGVmEJYMOjEpHowZ3bI0bb3GJAJAKBNQUvTRypPUiSz1lYOEqF5zL33OQ6bhDxo7pc&_nc_ohc=t8E2n2LjryUQ7kNvwGigBfW&_nc_gid=zK2HykH1bCc2yCXHY_fljw&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzU0NjU1MTM0ODk5MDU5NDExNw%3D%3D.3-ccb7-5-cb30a688f7-fa102a98&oh=00_AfGLM-xYuY5ROf6AAJgBwx2vPP4FiEOHG7I1OAUQ_hv5RQ&oe=6804F6D9&_nc_sid=fc8dfb,licensed_music,pixie dust,Dreamy Kid
3510157943264140581_2204228646,DC2lg1Bxl0l,"hi guys🐷

we luv @lewkinofficial—everything I’m wearing is 50% off! Use my code DAISY and shop now before your faves sell out. Sale ends Dec 5—don’t wait <3 #lewkiss #lewkin #blackfridaysale",https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/468506772_1253338665790190_5393003302163280784_n.jpg?stp=dst-jpg_e35_p1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTgwMC5zZHIuZjI5MzUwLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QHq09JpMXd6oSL91Ke1GFaiUrTMZboipdu8FFVpp1kxta2O9SljbViCAh23dWjHRZM&_nc_ohc=wdZxthCZrW8Q7kNvwEap0Tn&_nc_gid=cTrvE0XdeK7WtH4wuk6mDg&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzUxMDE1NzkzMDE0NDMzNDk4MA%3D%3D.3-ccb7-5&oh=00_AfGcxM6-X5zXzqfyghsU_Qe6kZ-AsAwWcuSiiU-Nrgd9nA&oe=680500F8&_nc_sid=fc8dfb,licensed_music,UP (KARINA Solo),aespa
3506020729823263076_2204228646,DCn40cwRXlk,cozy paris 🧸,https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/467698469_1994928560969829_1353139507592233308_n.jpg?stp=dst-jpg_e35_p1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTgwMC5zZHIuZjI5MzUwLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2QGzwHe793H2R_FDsu5Y-fryrc8LzOFTazRjeN_Yc-_ylp-4ae61QFEeE5wuAhDZx-U&_nc_ohc=J79KoUQdWOEQ7kNvwGm1cKe&_nc_gid=oZgCm7zoK0nD_thHjMkV8g&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzUwNjAyMDcyMTA5OTAyMDQwMQ%3D%3D.3-ccb7-5&oh=00_AfGYkNBftJjh67Sv2LQWyiSoIBMxhZA2zbfXTpB4dKEhng&oe=6804DDDD&_nc_sid=fc8dfb,,,
3505097182242536012_2204228646,DCkm1ECyfpM,,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/467745655_571503435570186_6624779446907568953_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjU0MHg1NDAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QEJO03HxgWng87I3YVf4KjpRDG1gxEC6LfQ6iGvpgHX-JfKc6wLKvoJ_KmfPEZA43M&_nc_ohc=QpJ6eklWGUoQ7kNvwHgVP95&_nc_gid=DnNsa_frrnt7sKr3fSFOtg&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzUwNTA5NzE4MjI0MjUzNjAxMg%3D%3D.3-ccb7-5&oh=00_AfGrE7u8X3r7muiFg5xPtM8y6xtetTPoEJc8ZzMhJfAsSw&oe=68050955&_nc_sid=fc8dfb,,,
3503827644955530200_2204228646,DCgGK3TxJPY,,https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/467409186_934685322096514_171974376820561020_n.jpg?stp=dst-jpg_e35_p1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTgwMC5zZHIuZjI5MzUwLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QFKsIugcW6p1BRGEJGXHeVgA_W505oLwAjc4RIPY40mHz6YxznZf0ntJanLEoLIKIs&_nc_ohc=lADg-9P2szsQ7kNvwER04Xd&_nc_gid=oEGBeUnqtYW9e4zSKRZi1g&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzUwMzgyNzYzNjE0NzY1MzUzOQ%3D%3D.3-ccb7-5&oh=00_AfFGkna15sj1PYWfB7A2uhGarzcXyW93w2qwr-Vznzn35w&oe=68050EFF&_nc_sid=fc8dfb,licensed_music,Chanel,Frank Ocean
3501751626413322367_2204228646,DCYuI0YAzB_,wherever you go,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/466939676_1338408673990128_270169411273824068_n.jpg?stp=dst-jpg_e35_p1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTgwMC5zZHIuZjI5MzUwLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2QHkq_Yhq5VDMQgSf-DZZYFe6bvp4oDbkCl6VLp3aCbmwJCRKql89mgv8xumf-9i56g&_nc_ohc=JtNdOmZWZf4Q7kNvwFuzcKy&_nc_gid=OCdQKjrpAUK-dtfFLg4mZw&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzUwMTc1MTYwODcyMTU2NTY2Mw%3D%3D.3-ccb7-5&oh=00_AfFmfBJI-8Vyn0rweMN6sdZhIT4gCFHIKrOhZav6_cCxSg&oe=680508DE&_nc_sid=fc8dfb,licensed_music,What If I Go? (feat. Bonzai),Mura Masa
3474911458633364375_2204228646,DA5XY-NxrOX,cheesing,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/462421831_973415244783259_4771203430353664242_n.jpg?stp=dst-jpg_e35_p1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjEyODF4MTI4NC5zZHIuZjI5MzUwLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QGfrWdlHtjk3LKeuLOrdaVkic36bsQQ7XH-ZgYQ7wREIo5A6NK3kn44Gi4iyt8jLwE&_nc_ohc=BV52R0Zh_74Q7kNvwEs0609&_nc_gid=ThaB-Oz52mymUAXL551ekQ&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzQ3NDkxMTQ1ODYzMzM2NDM3NQ%3D%3D.3-ccb7-5&oh=00_AfFuSeXAYsuQLPAT-H_1MTS_esvdgIbTAnaMMp8JxjKYog&oe=6804FD6F&_nc_sid=fc8dfb,,,
